SeriesInstanceUID,StudyInstanceUID,SeriesNumberInstances,SeriesPlane,SeriesLabelMerge
1.2.840.113619.2.5.1824252116715953893321595389332087000,1.2.840.113619.6.388.43804629438438929368265285531169231542,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.29583.15965231320178,1.2.840.113619.6.410.187510748184269179517286452881559008700,25,axial,flair
1.2.840.113619.2.410.15512023.5814788.16076.15936633700355,1.2.840.113619.6.410.325252479896783011599946586280965820839,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.21951.15934023340116,1.2.840.113619.6.410.247974811334191840181087968172054686796,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.25706.15997846080904,1.2.840.113619.6.410.284829606723725549679006570235743894743,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.26932.15964433490786,1.2.840.113619.6.410.29118749366678588281434504685916033616,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.22344.15814052720063,1.2.840.113619.6.410.132199041217119995266064421749631101235,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.29820.15965232130697,1.2.840.113619.6.410.187510748184269179517286452881559008700,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.21709.15934022160057,1.2.840.113619.6.410.247974811334191840181087968172054686796,25,axial,t2
1.2.840.113619.2.5.1825241618615972851691597285169816000,1.2.840.113619.6.388.10811204088024990591589460410450038986,20,axial,dwi
1.2.840.113619.2.5.1824242321615952991191595299119693000,1.2.840.113619.6.388.55326781638345523187904784836822139644,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.4757.1581392224165,1.2.840.113619.6.410.213925565523759567732468613113106897503,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.29690.15952359080408,1.2.840.113619.6.410.185081813482343740160843226107996262301,18,axial,t2
1.2.840.113619.2.5.1918201821616027328391602732839935000,1.2.840.113619.6.388.172097886845497482092845409351737833933,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.22498.15814053530278,1.2.840.113619.6.410.132199041217119995266064421749631101235,25,axial,t2
1.2.840.113619.2.5.1824242324615953005051595300505335000,1.2.840.113619.6.388.296616598824116420146164414730648035211,20,axial,dwi
1.2.840.113619.2.5.1918202023416027547831602754783643000,1.2.840.113619.6.388.80689003767901423763295032541842825358,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.21042.16003884000512,1.2.840.113619.6.410.72018269195702828501937209391299217744,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.6005.1580351901715,1.2.840.113619.6.410.120798535282182510508433318089287298444,25,axial,other
1.2.840.113619.2.410.15512023.5814788.10598.15790512210446,1.2.840.113619.6.410.155223390873941876127890484007219336581,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.17524.16031573340901,1.2.840.113619.6.410.190325384476836683096616638122883818636,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.25613.15940183220797,1.2.840.113619.6.410.101100861104762822098783993417376401921,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.28813.15964443130170,1.2.840.113619.6.410.92799438004935535719187645682270560917,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.11128.15790517370758,1.2.840.113619.6.410.155223390873941876127890484007219336581,18,axial,dwi
1.2.840.113619.2.5.1824232124715950424861595042486281000,1.2.840.113619.6.388.299644115384907986947717284768417434914,20,axial,dwi
1.2.840.113619.2.5.1825241725415973684141597368414380000,1.2.840.113619.6.388.127926731721136232322882167174687659989,20,axial,dwi
1.2.840.113619.2.5.1918181917616023221931602322193388000,1.2.840.113619.6.388.303906266249443593079050049736569301973,20,axial,dwi
1.2.840.113619.2.5.1917171625616003158591600315859624000,1.2.840.113619.6.388.154930230586021727710521723052301611955,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.31797.15791612280790,1.2.840.113619.6.410.329274338869633041270199169377980387834,25,axial,other
1.2.840.113619.2.410.15512023.5814788.25095.15997842000573,1.2.840.113619.6.410.284829606723725549679006570235743894743,25,axial,other
1.2.840.113619.2.410.15512023.5814788.27087.15964434120915,1.2.840.113619.6.410.29118749366678588281434504685916033616,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.15248.15952301910104,1.2.840.113619.6.410.259258635306824730503101825579777267348,18,axial,dwi
1.2.840.113619.2.5.1821172124915902037941590203794279000,1.2.840.113619.6.388.43452173606990919549602610321695870466,20,axial,dwi
